Subject,dkey,skey,Block,TrialNum,CorrResp,Match,Probe,Accuracy,RTms,Ziffer1,Ziffer2,Ziffer3,Ziffer4,Ziffer5,n_pre,n_filter,n_finalintra,LogRT,RTs,RespSpeed,PropFilter,PropDel,PropTotal
45,l,d,S5,7,d,1,6,1,1343,5,7,4,8,6,19,19,19,7.20266119652324,1.343,0.744601638123604,0,0,0
45,l,d,S5,8,l,0,5,1,1485,8,2,6,1,0,19,19,19,7.3031700512368,1.485,0.673400673400673,0,0,0
45,l,d,S5,9,d,1,2,1,1181,4,1,7,2,9,19,19,19,7.07411681619736,1.181,0.846740050804403,0,0,0
45,l,d,S5,10,d,1,7,1,1005,6,7,4,3,9,19,19,19,6.91274282049318,1.005,0.995024875621891,0,0,0
45,l,d,S5,11,d,1,8,1,1464,8,7,0,2,3,19,19,19,7.28892769452126,1.464,0.683060109289617,0,0,0
45,l,d,S5,12,l,0,1,1,1278,7,8,5,0,4,19,19,19,7.15305163493748,1.278,0.782472613458529,0,0,0
45,l,d,S5,13,d,1,3,1,1250,1,8,0,3,6,19,19,19,7.13089883029635,1.25,0.8,0,0,0
45,l,d,S5,14,d,1,9,1,1128,0,3,9,6,1,19,19,19,7.028201432058,1.128,0.886524822695036,0,0,0
45,l,d,S5,15,d,1,3,1,846,0,7,8,3,1,19,19,19,6.74051935960622,0.846,1.18203309692671,0,0,0
45,l,d,S5,16,l,0,4,1,816,7,5,8,6,1,19,19,19,6.70441435496411,0.816,1.22549019607843,0,0,0
45,l,d,S5,17,d,1,8,1,1195,4,8,3,9,5,19,19,19,7.08590146436561,1.195,0.836820083682008,0,0,0
45,l,d,S5,18,d,1,4,1,1463,8,6,7,0,4,19,19,19,7.28824440102012,1.463,0.683526999316473,0,0,0
45,l,d,S5,19,l,0,7,1,1228,0,6,5,3,4,19,19,19,7.11314210870709,1.228,0.814332247557003,0,0,0
45,l,d,S5,20,l,0,6,1,1051,3,2,5,8,7,19,19,19,6.95749737087695,1.051,0.951474785918173,0,0,0
45,l,d,S5,21,l,0,5,1,1460,8,2,0,1,4,19,19,19,7.28619171470238,1.46,0.684931506849315,0,0,0
45,l,d,S5,22,d,1,0,1,1706,5,6,0,9,2,19,19,19,7.44190672805162,1.706,0.586166471277843,0,0,0
45,l,d,S5,23,l,0,2,1,1741,6,7,4,3,9,19,19,19,7.46221493976819,1.741,0.574382538770821,0,0,0
45,l,d,S5,24,l,0,3,1,1251,5,8,6,2,0,19,19,19,7.13169851046691,1.251,0.799360511590728,0,0,0
45,l,d,S5,25,l,0,5,1,1200,8,9,7,1,0,19,19,19,7.09007683577609,1.2,0.833333333333333,0,0,0
45,l,d,S5,27,l,0,2,1,1032,6,3,9,8,5,19,19,19,6.93925394604151,1.032,0.968992248062015,0,0,0
